stage,map,team,opponent,CT_rounds,T_rounds,r_1_outcome,r_2_outcome,r_3_outcome,r_4_outcome,r_5_outcome,r_6_outcome,r_7_outcome,r_8_outcome,r_9_outcome,r_10_outcome,r_11_outcome,r_12_outcome,r_13_outcome,r_14_outcome,r_15_outcome,r_16_outcome,r_17_outcome,r_18_outcome,r_19_outcome,r_20_outcome,r_21_outcome,r_22_outcome,r_23_outcome,r_24_outcome,r_25_outcome,r_26_outcome,r_27_outcome,r_28_outcome,r_29_outcome,r_30_outcome,r_31_outcome,r_32_outcome,r_33_outcome,r_34_outcome,r_35_outcome,r_36_outcome
Final,Dust2,FaZe Clan,Team Vitality,1-12,13-16,False,False,False,False,False,False,False,True,False,False,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Final,Dust2,Team Vitality,FaZe Clan,13-16,1-12,True,True,True,True,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Final,Inferno,FaZe Clan,Team Vitality,1-12,13-22,False,False,False,True,True,False,True,True,True,True,True,True,True,True,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Final,Inferno,Team Vitality,FaZe Clan,13-22,1-12,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,True,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Final,Nuke,FaZe Clan,Team Vitality,13-19,1-12,True,True,True,True,False,True,True,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Final,Nuke,Team Vitality,FaZe Clan,1-12,13-19,False,False,False,False,True,False,False,False,True,True,False,True,True,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Final,Overpass,FaZe Clan,Team Vitality,1-12,13-15,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Final,Overpass,Team Vitality,FaZe Clan,13-15,1-12,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Quarterfinals,Dust2,Team Falcons,Team Spirit,13-28,1-12,True,True,False,False,False,False,False,True,True,True,False,False,True,True,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Quarterfinals,Dust2,Team Spirit,Team Falcons,1-12,13-28,False,False,True,True,True,True,True,False,False,False,True,True,False,False,False,False,True,True,True,True,True,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False
Quarterfinals,Dust2,Team Vitality,The MongolZ,13-17,1-12,True,False,True,True,True,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Quarterfinals,Dust2,The MongolZ,Team Vitality,1-12,13-17,False,True,False,False,False,True,True,False,False,False,False,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Quarterfinals,Inferno,FURIA Esports,Natus Vincere,1-12,13-29,False,True,True,True,False,False,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False
Quarterfinals,Inferno,FaZe Clan,MOUZ,1-12,13-15,True,True,True,True,False,True,True,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Quarterfinals,Inferno,MOUZ,FaZe Clan,13-15,1-12,False,False,False,False,True,False,False,False,True,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Quarterfinals,Inferno,Natus Vincere,FURIA Esports,13-29,1-12,True,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,True,False,False,True,True,False,False,False,False,False,False,False
