stage,map,team,player_name,player_steam_id,opponent,r_1_cash,r_2_cash,r_3_cash,r_4_cash,r_5_cash,r_6_cash,r_7_cash,r_8_cash,r_9_cash,r_10_cash,r_11_cash,r_12_cash,r_13_cash,r_14_cash,r_15_cash,r_16_cash,r_17_cash,r_18_cash,r_19_cash,r_20_cash,r_21_cash,r_22_cash,r_23_cash,r_24_cash,r_25_cash,r_26_cash,r_27_cash,r_28_cash,r_29_cash,r_30_cash,r_31_cash,r_32_cash,r_33_cash,r_34_cash,r_35_cash,r_36_cash
Final,Dust2,FaZe Clan,Twistzz,76561198016255205,Team Vitality,800,2550,4700,3050,5850,4150,6750,7550,3600,4300,3650,4850,150,2050,2450,5350.0,,,,,,,,,,,,,,,,,,,,
Final,Dust2,FaZe Clan,broky,76561198201620490,Team Vitality,800,2400,5150,3150,6400,3800,7150,9050,5500,7100,3550,7150,100,2000,2450,5350.0,,,,,,,,,,,,,,,,,,,,
Final,Dust2,FaZe Clan,frozen,76561198068422762,Team Vitality,800,2550,4800,3800,5650,4150,5050,4000,4700,3200,4600,4550,150,2050,2450,4650.0,,,,,,,,,,,,,,,,,,,,
Final,Dust2,FaZe Clan,jcobbb,76561198178737429,Team Vitality,800,2550,5000,3450,5650,3750,5550,3850,4650,7450,5350,5300,800,2700,2500,4700.0,,,,,,,,,,,,,,,,,,,,
Final,Dust2,FaZe Clan,karrigan,76561197989430253,Team Vitality,800,2100,4250,3100,5950,3650,5450,3550,4350,6850,3600,5550,0,1900,2450,4650.0,,,,,,,,,,,,,,,,,,,,
Final,Dust2,Team Vitality,ZywOo,76561198113666193,FaZe Clan,800,3400,4000,7400,4550,6050,8450,5300,6000,3750,5400,3300,150,4850,3650,6850.0,,,,,,,,,,,,,,,,,,,,
Final,Dust2,Team Vitality,apEX,76561197989744167,FaZe Clan,800,3550,3600,6300,7700,6600,8300,7300,4200,3550,3300,2600,0,3500,3850,6950.0,,,,,,,,,,,,,,,,,,,,
Final,Dust2,Team Vitality,flameZ,76561197978835160,FaZe Clan,800,4900,3950,4250,5600,7000,6000,5000,4300,3950,3900,3200,150,3650,3650,6050.0,,,,,,,,,,,,,,,,,,,,
Final,Dust2,Team Vitality,mezii,76561197973140692,FaZe Clan,800,3400,3650,6350,9050,8100,8300,7300,5200,4250,3700,2200,150,3650,4200,7100.0,,,,,,,,,,,,,,,,,,,,
Final,Dust2,Team Vitality,ropz,76561197991272318,FaZe Clan,800,3250,3600,5700,4600,4800,6450,5050,6150,4700,3550,3750,150,3950,4100,6500.0,,,,,,,,,,,,,,,,,,,,
Final,Inferno,FaZe Clan,Twistzz,76561198016255205,Team Vitality,800,3700,3250,4600,2800,4500,3600,4700,2300,4400,3300,5550,150,4200,4500,4450.0,1550.0,1950.0,4150.0,3600.0,3800.0,4600.0,,,,,,,,,,,,,,
Final,Inferno,FaZe Clan,broky,76561198201620490,Team Vitality,800,3350,5850,5200,3750,3750,3850,5050,2150,4850,3250,5550,150,3900,4700,4250.0,1600.0,1950.0,4150.0,5500.0,2200.0,5600.0,,,,,,,,,,,,,,
Final,Inferno,FaZe Clan,frozen,76561198068422762,Team Vitality,800,4300,3850,4000,3200,5700,4400,5200,2200,4600,2900,5550,150,5100,4050,5400.0,1650.0,1900.0,4400.0,5150.0,5750.0,4400.0,,,,,,,,,,,,,,
Final,Inferno,FaZe Clan,jcobbb,76561198178737429,Team Vitality,800,4000,3250,4600,2300,5400,4000,5700,3000,4700,3000,5650,150,3900,3800,4300.0,3250.0,1950.0,4150.0,4200.0,4800.0,3600.0,,,,,,,,,,,,,,
Final,Inferno,FaZe Clan,karrigan,76561197989430253,Team Vitality,800,3350,3350,3950,3150,5050,3650,4450,1950,4350,3350,5900,0,4050,3850,5800.0,1700.0,2050.0,4850.0,3550.0,3200.0,4200.0,,,,,,,,,,,,,,
Final,Inferno,Team Vitality,ZywOo,76561198113666193,FaZe Clan,800,2200,2850,5200,3750,5500,4000,4650,5850,8350,10750,10350,150,2650,3300,5100.0,4000.0,6300.0,8350.0,7250.0,7250.0,8050.0,,,,,,,,,,,,,,
Final,Inferno,Team Vitality,apEX,76561197989744167,FaZe Clan,800,2050,2900,4000,3900,7300,4350,6450,5400,6600,10700,9250,100,2900,3600,4800.0,3500.0,6200.0,8600.0,7800.0,6800.0,7000.0,,,,,,,,,,,,,,
Final,Inferno,Team Vitality,flameZ,76561197978835160,FaZe Clan,800,2200,2550,5000,3650,5300,2000,5750,3650,5850,8650,10000,0,2500,3400,4600.0,3500.0,5400.0,7800.0,4400.0,6300.0,6500.0,,,,,,,,,,,,,,
Final,Inferno,Team Vitality,mezii,76561197973140692,FaZe Clan,800,2800,2600,5750,3650,4800,2500,5450,5350,5150,7650,11700,150,2650,3300,3500.0,4100.0,5650.0,8550.0,8100.0,7000.0,7400.0,,,,,,,,,,,,,,
Final,Inferno,Team Vitality,ropz,76561197991272318,FaZe Clan,800,2500,3200,4800,4500,4250,1950,5300,8900,7800,6400,9650,100,2600,3150,3550.0,3550.0,5950.0,8450.0,6250.0,4850.0,5050.0,,,,,,,,,,,,,,
Final,Nuke,FaZe Clan,Twistzz,76561198016255205,Team Vitality,800,4250,4050,3950,3900,4500,3650,4450,4550,3850,4250,3300,150,3650,6000,2850.0,4350.0,5200.0,4900.0,,,,,,,,,,,,,,,,,
Final,Nuke,FaZe Clan,broky,76561198201620490,Team Vitality,800,4000,3600,5000,3750,4650,3800,5200,7200,4800,2500,6050,150,3650,3600,4800.0,3700.0,4250.0,3600.0,,,,,,,,,,,,,,,,,
Final,Nuke,FaZe Clan,frozen,76561198068422762,Team Vitality,800,3700,4200,4600,3250,4050,5200,4100,3700,4100,2600,5850,150,4250,3500,5100.0,3750.0,2700.0,3500.0,,,,,,,,,,,,,,,,,
Final,Nuke,FaZe Clan,jcobbb,76561198178737429,Team Vitality,800,3400,4200,6700,5150,7450,3300,4600,6200,6900,2950,6400,150,4550,3550,3750.0,6650.0,2700.0,4100.0,,,,,,,,,,,,,,,,,
Final,Nuke,FaZe Clan,karrigan,76561197989430253,Team Vitality,800,3250,3650,5550,4500,5300,4350,4250,6650,3150,3650,5200,0,3500,3850,4450.0,4500.0,2750.0,5700.0,,,,,,,,,,,,,,,,,
Final,Nuke,Team Vitality,ZywOo,76561198113666193,FaZe Clan,800,2550,2500,5650,6550,5300,6750,3900,3500,6300,8750,9900,150,2050,4450,50.0,2250.0,3550.0,2350.0,,,,,,,,,,,,,,,,,
Final,Nuke,Team Vitality,apEX,76561197989744167,FaZe Clan,800,2100,2650,5100,3650,5950,8300,4050,3800,3900,7650,9200,0,1900,4300,100.0,2000.0,3500.0,1750.0,,,,,,,,,,,,,,,,,
Final,Nuke,Team Vitality,flameZ,76561197978835160,FaZe Clan,800,2250,2550,5200,3400,6100,3950,5450,3800,5300,8050,5700,800,2050,4450,2050.0,2050.0,3550.0,1750.0,,,,,,,,,,,,,,,,,
Final,Nuke,Team Vitality,mezii,76561197973140692,FaZe Clan,800,2550,3150,6200,3550,5650,6950,4850,3500,4750,8100,5050,150,2050,4450,450.0,2650.0,4450.0,1550.0,,,,,,,,,,,,,,,,,
Final,Nuke,Team Vitality,ropz,76561197991272318,FaZe Clan,800,2850,2850,5150,3550,5700,4050,3500,4300,3650,6300,7700,100,2600,4300,2500.0,3400.0,3900.0,2000.0,,,,,,,,,,,,,,,,,
Final,Overpass,FaZe Clan,Twistzz,76561198016255205,Team Vitality,800,2450,4900,3350,5050,3650,4550,3400,5200,3900,5750,3950,150,3700,2050,,,,,,,,,,,,,,,,,,,,,
Final,Overpass,FaZe Clan,broky,76561198201620490,Team Vitality,800,2150,4600,3050,6300,3550,6550,3400,6150,3700,5750,3500,100,3950,1450,,,,,,,,,,,,,,,,,,,,,
Final,Overpass,FaZe Clan,frozen,76561198068422762,Team Vitality,800,2450,4900,3450,6150,4300,4500,3550,4800,3850,4750,6150,150,4000,1450,,,,,,,,,,,,,,,,,,,,,
Final,Overpass,FaZe Clan,jcobbb,76561198178737429,Team Vitality,800,2150,4600,3000,5850,4100,5400,3950,5050,3600,5600,3850,150,3700,1400,,,,,,,,,,,,,,,,,,,,,
Final,Overpass,FaZe Clan,karrigan,76561197989430253,Team Vitality,800,2100,4250,3000,5850,4050,4750,3400,5300,4250,4850,3750,50,3300,1400,,,,,,,,,,,,,,,,,,,,,
Final,Overpass,Team Vitality,ZywOo,76561198113666193,FaZe Clan,800,3700,3700,4550,6900,9600,6300,4750,7150,10200,11400,14600,150,2100,4850,,,,,,,,,,,,,,,,,,,,,
Final,Overpass,Team Vitality,apEX,76561197989744167,FaZe Clan,800,3250,3250,6800,9150,8150,10600,10250,14050,16000,14700,13700,150,2100,4050,,,,,,,,,,,,,,,,,,,,,
Final,Overpass,Team Vitality,flameZ,76561197978835160,FaZe Clan,800,3400,4100,5250,8100,11800,13950,12400,15700,16000,15000,16000,150,2400,4850,,,,,,,,,,,,,,,,,,,,,
Final,Overpass,Team Vitality,mezii,76561197973140692,FaZe Clan,800,3650,4300,6650,8150,6850,9400,8150,10950,13800,16000,16000,100,2050,4250,,,,,,,,,,,,,,,,,,,,,
Final,Overpass,Team Vitality,ropz,76561197991272318,FaZe Clan,800,4600,3550,6700,5350,3950,7200,9250,12650,11300,11200,9800,150,2100,4450,,,,,,,,,,,,,,,,,,,,,
Quarterfinals,Dust2,Team Falcons,NiKo,76561198041683378,Team Spirit,800,2050,2550,6100,7750,10350,11950,14250,10500,7950,5400,5650,150,4000,3550,3700.0,7100.0,4600.0,1900.0,4600.0,3500.0,4850.0,3300.0,4100.0,10000.0,7700.0,3250.0,4050.0,,,,,,,,
Quarterfinals,Dust2,Team Falcons,TeSeS,76561197996678278,Team Spirit,800,1900,3000,5600,3550,5350,7650,10150,9100,5300,2550,5650,100,3350,3450,5800.0,7150.0,5650.0,2750.0,5150.0,3550.0,4950.0,3700.0,4500.0,10000.0,8000.0,5600.0,4750.0,,,,,,,,
Quarterfinals,Dust2,Team Falcons,kyousuke,76561199032006224,Team Spirit,800,2050,2900,6300,7350,10050,13650,13750,11700,7100,5050,7850,150,3700,3550,4700.0,6100.0,7000.0,2350.0,4750.0,3050.0,5400.0,4450.0,3250.0,10000.0,8000.0,5600.0,5150.0,,,,,,,,
Quarterfinals,Dust2,Team Falcons,kyxsan,76561198057282432,Team Spirit,800,2050,2600,6150,3900,6100,8800,10200,10750,7500,2550,5250,0,3550,4250,3700.0,5100.0,5300.0,2700.0,4800.0,3200.0,4750.0,3600.0,2900.0,10000.0,8300.0,6500.0,10000.0,,,,,,,,
Quarterfinals,Dust2,Team Falcons,m0NESY,76561198074762801,Team Spirit,800,2050,3250,7600,3800,6600,9400,11400,11850,6400,3400,5850,150,4000,4250,6100.0,3750.0,4650.0,2100.0,4500.0,3000.0,4750.0,3900.0,3300.0,10000.0,5650.0,3250.0,2900.0,,,,,,,,
