stages,map,team,opponent,side,rounds_played,rounds_won,game_won,map_won,map_number,final_score,total_maps_played
Final,Dust2,FaZe Clan,Team Vitality,Counter Terrorist,16.0,7.0,False,False,2,13-3,4
Final,Dust2,FaZe Clan,Team Vitality,Terrorist,,,False,False,2,13-3,4
Final,Dust2,FaZe Clan,Team Vitality,Both,16.0,7.0,False,False,2,13-3,4
Final,Dust2,Team Vitality,FaZe Clan,Counter Terrorist,,,True,True,2,13-3,4
Final,Dust2,Team Vitality,FaZe Clan,Terrorist,16.0,9.0,True,True,2,13-3,4
Final,Dust2,Team Vitality,FaZe Clan,Both,16.0,9.0,True,True,2,13-3,4
Final,Inferno,FaZe Clan,Team Vitality,Counter Terrorist,22.0,13.0,False,False,3,13-9,4
Final,Inferno,FaZe Clan,Team Vitality,Terrorist,,,False,False,3,13-9,4
Final,Inferno,FaZe Clan,Team Vitality,Both,22.0,13.0,False,False,3,13-9,4
Final,Inferno,Team Vitality,FaZe Clan,Counter Terrorist,,,True,True,3,13-9,4
Final,Inferno,Team Vitality,FaZe Clan,Terrorist,22.0,9.0,True,True,3,13-9,4
Final,Inferno,Team Vitality,FaZe Clan,Both,22.0,9.0,True,True,3,13-9,4
Final,Nuke,FaZe Clan,Team Vitality,Counter Terrorist,,,False,True,1,13-6,4
Final,Nuke,FaZe Clan,Team Vitality,Terrorist,19.0,10.0,False,True,1,13-6,4
Final,Nuke,FaZe Clan,Team Vitality,Both,19.0,10.0,False,True,1,13-6,4
Final,Nuke,Team Vitality,FaZe Clan,Counter Terrorist,19.0,9.0,True,False,1,13-6,4
Final,Nuke,Team Vitality,FaZe Clan,Terrorist,,,True,False,1,13-6,4
Final,Nuke,Team Vitality,FaZe Clan,Both,19.0,9.0,True,False,1,13-6,4
Final,Overpass,FaZe Clan,Team Vitality,Counter Terrorist,15.0,3.0,False,False,4,13-2,4
Final,Overpass,FaZe Clan,Team Vitality,Terrorist,,,False,False,4,13-2,4
Final,Overpass,FaZe Clan,Team Vitality,Both,15.0,3.0,False,False,4,13-2,4
Final,Overpass,Team Vitality,FaZe Clan,Counter Terrorist,,,True,True,4,13-2,4
Final,Overpass,Team Vitality,FaZe Clan,Terrorist,15.0,12.0,True,True,4,13-2,4
Final,Overpass,Team Vitality,FaZe Clan,Both,15.0,12.0,True,True,4,13-2,4
Quarterfinals,Dust2,Team Falcons,Team Spirit,Counter Terrorist,,,False,False,2,16-12,2
Quarterfinals,Dust2,Team Falcons,Team Spirit,Terrorist,28.0,11.0,False,False,2,16-12,2
Quarterfinals,Dust2,Team Falcons,Team Spirit,Both,28.0,11.0,False,False,2,16-12,2
Quarterfinals,Dust2,Team Spirit,Team Falcons,Counter Terrorist,28.0,17.0,True,True,2,16-12,2
Quarterfinals,Dust2,Team Spirit,Team Falcons,Terrorist,,,True,True,2,16-12,2
Quarterfinals,Dust2,Team Spirit,Team Falcons,Both,28.0,17.0,True,True,2,16-12,2
Quarterfinals,Dust2,Team Vitality,The MongolZ,Counter Terrorist,,,True,True,2,13-4,2
Quarterfinals,Dust2,Team Vitality,The MongolZ,Terrorist,17.0,8.0,True,True,2,13-4,2
Quarterfinals,Dust2,Team Vitality,The MongolZ,Both,17.0,8.0,True,True,2,13-4,2
Quarterfinals,Dust2,The MongolZ,Team Vitality,Counter Terrorist,17.0,9.0,False,False,2,13-4,2
Quarterfinals,Dust2,The MongolZ,Team Vitality,Terrorist,,,False,False,2,13-4,2
