stages,map,teams,side,level,x_bin,y_bin,count
Quarterfinals,Nuke,Team Spirit vs Team Falcons,ct,lower,200,-1550,3
Quarterfinals,Nuke,Team Spirit vs Team Falcons,ct,lower,200,-1525,2
Quarterfinals,Nuke,Team Spirit vs Team Falcons,ct,lower,200,-1500,2
Quarterfinals,Nuke,Team Spirit vs Team Falcons,ct,lower,200,-1475,1
Quarterfinals,Nuke,Team Spirit vs Team Falcons,ct,lower,200,-1450,2
Quarterfinals,Nuke,Team Spirit vs Team Falcons,ct,lower,200,-1425,1
Quarterfinals,Nuke,Team Spirit vs Team Falcons,ct,lower,200,-1400,1
Quarterfinals,Nuke,Team Spirit vs Team Falcons,ct,lower,225,-1575,2
Quarterfinals,Nuke,Team Spirit vs Team Falcons,ct,lower,225,-1425,1
Quarterfinals,Nuke,Team Spirit vs Team Falcons,ct,lower,225,-1400,1
Quarterfinals,Nuke,Team Spirit vs Team Falcons,ct,lower,225,-1375,1
Quarterfinals,Nuke,Team Spirit vs Team Falcons,ct,lower,250,-1600,2
Quarterfinals,Nuke,Team Spirit vs Team Falcons,ct,lower,250,-1375,1
Quarterfinals,Nuke,Team Spirit vs Team Falcons,ct,lower,250,-1350,1
Quarterfinals,Nuke,Team Spirit vs Team Falcons,ct,lower,250,-1325,1
Quarterfinals,Nuke,Team Spirit vs Team Falcons,ct,lower,275,-1600,2
Quarterfinals,Nuke,Team Spirit vs Team Falcons,ct,lower,275,-1350,1
Quarterfinals,Nuke,Team Spirit vs Team Falcons,ct,lower,275,-1325,3
Quarterfinals,Nuke,Team Spirit vs Team Falcons,ct,lower,300,-1625,1
Quarterfinals,Nuke,Team Spirit vs Team Falcons,ct,lower,300,-1600,1
Quarterfinals,Nuke,Team Spirit vs Team Falcons,ct,lower,300,-1325,2
Quarterfinals,Nuke,Team Spirit vs Team Falcons,ct,lower,325,-1625,2
Quarterfinals,Nuke,Team Spirit vs Team Falcons,ct,lower,325,-1325,54
Quarterfinals,Nuke,Team Spirit vs Team Falcons,ct,lower,325,-1300,57
Quarterfinals,Nuke,Team Spirit vs Team Falcons,ct,lower,325,-1275,7
Quarterfinals,Nuke,Team Spirit vs Team Falcons,ct,lower,325,-1250,6
Quarterfinals,Nuke,Team Spirit vs Team Falcons,ct,lower,325,-1225,2
Quarterfinals,Nuke,Team Spirit vs Team Falcons,ct,lower,325,-1200,3
