stages,map,team,player_name,player_steamid,side,Kills,Assists,Deaths,Smokes Thrown,Molotovs Thrown,Grenades,Headshots,Rounds Played,Headshot %
Final,Dust2,FaZe Clan,Twistzz,76561198016255205,Counter Terrorist,6.0,7.0,10.0,5.0,6.0,3.0,2.0,12.0,33.33
Final,Dust2,FaZe Clan,Twistzz,76561198016255205,Terrorist,0.0,0.0,4.0,3.0,0.0,0.0,0.0,4.0,0.0
Final,Dust2,FaZe Clan,Twistzz,76561198016255205,Both,6.0,7.0,14.0,8.0,6.0,3.0,2.0,16.0,33.33
Final,Dust2,FaZe Clan,broky,76561198201620490,Counter Terrorist,12.0,3.0,7.0,6.0,2.0,5.0,2.0,12.0,16.67
Final,Dust2,FaZe Clan,broky,76561198201620490,Terrorist,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0
Final,Dust2,FaZe Clan,broky,76561198201620490,Both,12.0,3.0,11.0,6.0,2.0,5.0,2.0,16.0,16.67
Final,Dust2,FaZe Clan,frozen,76561198068422762,Counter Terrorist,13.0,2.0,7.0,5.0,11.0,6.0,6.0,12.0,46.15
Final,Dust2,FaZe Clan,frozen,76561198068422762,Terrorist,3.0,0.0,4.0,1.0,1.0,0.0,1.0,4.0,33.33
Final,Dust2,FaZe Clan,frozen,76561198068422762,Both,16.0,2.0,11.0,6.0,12.0,6.0,7.0,16.0,43.75
Final,Dust2,FaZe Clan,jcobbb,76561198178737429,Counter Terrorist,5.0,2.0,9.0,1.0,9.0,1.0,2.0,12.0,40.0
Final,Dust2,FaZe Clan,jcobbb,76561198178737429,Terrorist,0.0,0.0,4.0,0.0,1.0,0.0,0.0,4.0,0.0
Final,Dust2,FaZe Clan,jcobbb,76561198178737429,Both,5.0,2.0,13.0,1.0,10.0,1.0,2.0,16.0,40.0
Final,Dust2,FaZe Clan,karrigan,76561197989430253,Counter Terrorist,3.0,2.0,9.0,4.0,8.0,0.0,2.0,12.0,66.67
Final,Dust2,FaZe Clan,karrigan,76561197989430253,Terrorist,0.0,0.0,4.0,1.0,1.0,0.0,0.0,4.0,0.0
Final,Dust2,FaZe Clan,karrigan,76561197989430253,Both,3.0,2.0,13.0,5.0,9.0,0.0,2.0,16.0,66.67
Final,Dust2,Team Vitality,ZywOo,76561198113666193,Counter Terrorist,6.0,2.0,0.0,1.0,1.0,1.0,4.0,4.0,66.67
Final,Dust2,Team Vitality,ZywOo,76561198113666193,Terrorist,11.0,2.0,8.0,6.0,2.0,1.0,1.0,12.0,9.09
Final,Dust2,Team Vitality,ZywOo,76561198113666193,Both,17.0,4.0,8.0,7.0,3.0,2.0,5.0,16.0,29.41
Final,Dust2,Team Vitality,apEX,76561197989744167,Counter Terrorist,4.0,2.0,1.0,1.0,1.0,2.0,1.0,4.0,25.0
Final,Dust2,Team Vitality,apEX,76561197989744167,Terrorist,5.0,5.0,11.0,7.0,6.0,2.0,3.0,12.0,60.0
Final,Dust2,Team Vitality,apEX,76561197989744167,Both,9.0,7.0,12.0,8.0,7.0,4.0,4.0,16.0,44.44
Final,Dust2,Team Vitality,flameZ,76561197978835160,Counter Terrorist,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,100.0
Final,Dust2,Team Vitality,flameZ,76561197978835160,Terrorist,11.0,1.0,9.0,2.0,7.0,1.0,6.0,12.0,54.55
Final,Dust2,Team Vitality,flameZ,76561197978835160,Both,12.0,1.0,9.0,4.0,9.0,2.0,7.0,16.0,58.33
Final,Dust2,Team Vitality,mezii,76561197973140692,Counter Terrorist,6.0,2.0,1.0,0.0,1.0,1.0,3.0,4.0,50.0
Final,Dust2,Team Vitality,mezii,76561197973140692,Terrorist,7.0,3.0,5.0,8.0,5.0,0.0,4.0,12.0,57.14
Final,Dust2,Team Vitality,mezii,76561197973140692,Both,13.0,5.0,6.0,8.0,6.0,1.0,7.0,16.0,53.85
Final,Dust2,Team Vitality,ropz,76561197991272318,Counter Terrorist,3.0,0.0,1.0,4.0,4.0,0.0,3.0,4.0,100.0
Final,Dust2,Team Vitality,ropz,76561197991272318,Terrorist,7.0,2.0,8.0,5.0,4.0,2.0,2.0,12.0,28.57
Final,Dust2,Team Vitality,ropz,76561197991272318,Both,10.0,2.0,9.0,9.0,8.0,2.0,5.0,16.0,50.0
Final,Inferno,FaZe Clan,Twistzz,76561198016255205,Counter Terrorist,4.0,3.0,3.0,2.0,5.0,1.0,3.0,10.0,75.0
Final,Inferno,FaZe Clan,Twistzz,76561198016255205,Terrorist,7.0,1.0,9.0,7.0,8.0,2.0,4.0,12.0,57.14
Final,Inferno,FaZe Clan,Twistzz,76561198016255205,Both,11.0,4.0,12.0,9.0,13.0,3.0,7.0,22.0,63.64
Final,Inferno,FaZe Clan,broky,76561198201620490,Counter Terrorist,7.0,0.0,5.0,3.0,2.0,0.0,4.0,10.0,57.14
Final,Inferno,FaZe Clan,broky,76561198201620490,Terrorist,12.0,4.0,10.0,9.0,4.0,2.0,5.0,12.0,41.67
Final,Inferno,FaZe Clan,broky,76561198201620490,Both,19.0,4.0,15.0,12.0,6.0,2.0,9.0,22.0,47.37
Final,Inferno,FaZe Clan,frozen,76561198068422762,Counter Terrorist,8.0,3.0,6.0,0.0,6.0,2.0,3.0,10.0,37.5
Final,Inferno,FaZe Clan,frozen,76561198068422762,Terrorist,6.0,5.0,9.0,4.0,6.0,4.0,4.0,12.0,66.67
Final,Inferno,FaZe Clan,frozen,76561198068422762,Both,14.0,8.0,15.0,4.0,12.0,6.0,7.0,22.0,50.0
Final,Inferno,FaZe Clan,jcobbb,76561198178737429,Counter Terrorist,4.0,2.0,3.0,2.0,4.0,1.0,4.0,10.0,100.0
Final,Inferno,FaZe Clan,jcobbb,76561198178737429,Terrorist,7.0,4.0,10.0,5.0,6.0,2.0,4.0,12.0,57.14
Final,Inferno,FaZe Clan,jcobbb,76561198178737429,Both,11.0,6.0,13.0,7.0,10.0,3.0,8.0,22.0,72.73
Final,Inferno,FaZe Clan,karrigan,76561197989430253,Counter Terrorist,6.0,1.0,6.0,3.0,6.0,1.0,2.0,10.0,33.33
Final,Inferno,FaZe Clan,karrigan,76561197989430253,Terrorist,6.0,1.0,11.0,6.0,3.0,4.0,2.0,12.0,33.33
Final,Inferno,FaZe Clan,karrigan,76561197989430253,Both,12.0,2.0,17.0,9.0,9.0,5.0,4.0,22.0,33.33
Final,Inferno,Team Vitality,ZywOo,76561198113666193,Counter Terrorist,9.0,0.0,7.0,3.0,5.0,1.0,3.0,12.0,33.33
Final,Inferno,Team Vitality,ZywOo,76561198113666193,Terrorist,7.0,3.0,5.0,2.0,0.0,1.0,0.0,10.0,0.0
Final,Inferno,Team Vitality,ZywOo,76561198113666193,Both,16.0,3.0,12.0,5.0,5.0,2.0,3.0,22.0,18.75
Final,Inferno,Team Vitality,apEX,76561197989744167,Counter Terrorist,6.0,5.0,10.0,4.0,8.0,7.0,1.0,12.0,16.67
Final,Inferno,Team Vitality,apEX,76561197989744167,Terrorist,1.0,5.0,6.0,2.0,2.0,1.0,1.0,10.0,100.0
Final,Inferno,Team Vitality,apEX,76561197989744167,Both,7.0,10.0,16.0,6.0,10.0,8.0,2.0,22.0,28.57
Final,Inferno,Team Vitality,flameZ,76561197978835160,Counter Terrorist,5.0,5.0,9.0,9.0,10.0,5.0,1.0,12.0,20.0
Final,Inferno,Team Vitality,flameZ,76561197978835160,Terrorist,6.0,4.0,7.0,2.0,0.0,2.0,4.0,10.0,66.67
Final,Inferno,Team Vitality,flameZ,76561197978835160,Both,11.0,9.0,16.0,11.0,10.0,7.0,5.0,22.0,45.45
Final,Inferno,Team Vitality,mezii,76561197973140692,Counter Terrorist,14.0,1.0,3.0,7.0,7.0,0.0,8.0,12.0,57.14
Final,Inferno,Team Vitality,mezii,76561197973140692,Terrorist,9.0,1.0,5.0,3.0,2.0,1.0,4.0,10.0,44.44
Final,Inferno,Team Vitality,mezii,76561197973140692,Both,23.0,2.0,8.0,10.0,9.0,1.0,12.0,22.0,52.17
Final,Inferno,Team Vitality,ropz,76561197991272318,Counter Terrorist,14.0,3.0,8.0,5.0,8.0,5.0,5.0,12.0,35.71
Final,Inferno,Team Vitality,ropz,76561197991272318,Terrorist,0.0,3.0,6.0,2.0,2.0,0.0,0.0,10.0,0.0
Final,Inferno,Team Vitality,ropz,76561197991272318,Both,14.0,6.0,14.0,7.0,10.0,5.0,5.0,22.0,35.71
Final,Nuke,FaZe Clan,Twistzz,76561198016255205,Counter Terrorist,8.0,0.0,4.0,1.0,2.0,1.0,3.0,7.0,37.5
Final,Nuke,FaZe Clan,Twistzz,76561198016255205,Terrorist,11.0,2.0,7.0,12.0,7.0,3.0,9.0,12.0,81.82
Final,Nuke,FaZe Clan,Twistzz,76561198016255205,Both,19.0,2.0,11.0,13.0,9.0,4.0,12.0,19.0,63.16
Final,Nuke,FaZe Clan,broky,76561198201620490,Counter Terrorist,6.0,1.0,4.0,1.0,1.0,2.0,1.0,7.0,16.67
Final,Nuke,FaZe Clan,broky,76561198201620490,Terrorist,6.0,4.0,10.0,7.0,7.0,0.0,3.0,12.0,50.0
Final,Nuke,FaZe Clan,broky,76561198201620490,Both,12.0,5.0,14.0,8.0,8.0,2.0,4.0,19.0,33.33
Final,Nuke,FaZe Clan,frozen,76561198068422762,Counter Terrorist,4.0,2.0,4.0,3.0,3.0,2.0,1.0,7.0,25.0
Final,Nuke,FaZe Clan,frozen,76561198068422762,Terrorist,8.0,2.0,7.0,4.0,6.0,11.0,4.0,12.0,50.0
Final,Nuke,FaZe Clan,frozen,76561198068422762,Both,12.0,4.0,11.0,7.0,9.0,13.0,5.0,19.0,41.67
Final,Nuke,FaZe Clan,jcobbb,76561198178737429,Counter Terrorist,8.0,2.0,4.0,4.0,3.0,0.0,5.0,7.0,62.5
Final,Nuke,FaZe Clan,jcobbb,76561198178737429,Terrorist,9.0,3.0,8.0,1.0,7.0,0.0,9.0,12.0,100.0
Final,Nuke,FaZe Clan,jcobbb,76561198178737429,Both,17.0,5.0,12.0,5.0,10.0,0.0,14.0,19.0,82.35
Final,Nuke,FaZe Clan,karrigan,76561197989430253,Counter Terrorist,13.0,1.0,4.0,2.0,5.0,2.0,6.0,7.0,46.15
Final,Nuke,FaZe Clan,karrigan,76561197989430253,Terrorist,6.0,3.0,9.0,22.0,8.0,3.0,4.0,12.0,66.67
Final,Nuke,FaZe Clan,karrigan,76561197989430253,Both,19.0,4.0,13.0,24.0,13.0,5.0,10.0,19.0,52.63
Final,Nuke,Team Vitality,ZywOo,76561198113666193,Counter Terrorist,8.0,2.0,6.0,2.0,14.0,5.0,1.0,12.0,12.5
Final,Nuke,Team Vitality,ZywOo,76561198113666193,Terrorist,4.0,1.0,8.0,0.0,0.0,0.0,1.0,7.0,25.0
Final,Nuke,Team Vitality,ZywOo,76561198113666193,Both,12.0,3.0,14.0,2.0,14.0,5.0,2.0,19.0,16.67
Final,Nuke,Team Vitality,apEX,76561197989744167,Counter Terrorist,7.0,3.0,7.0,3.0,6.0,8.0,2.0,12.0,28.57
Final,Nuke,Team Vitality,apEX,76561197989744167,Terrorist,1.0,1.0,8.0,1.0,1.0,0.0,0.0,7.0,0.0
Final,Nuke,Team Vitality,apEX,76561197989744167,Both,8.0,4.0,15.0,4.0,7.0,8.0,2.0,19.0,25.0
Final,Nuke,Team Vitality,flameZ,76561197978835160,Counter Terrorist,10.0,1.0,11.0,11.0,13.0,5.0,8.0,12.0,80.0
Final,Nuke,Team Vitality,flameZ,76561197978835160,Terrorist,3.0,2.0,8.0,1.0,0.0,0.0,2.0,7.0,66.67
Final,Nuke,Team Vitality,flameZ,76561197978835160,Both,13.0,3.0,19.0,12.0,13.0,5.0,10.0,19.0,76.92
Final,Nuke,Team Vitality,mezii,76561197973140692,Counter Terrorist,8.0,1.0,7.0,7.0,13.0,4.0,4.0,12.0,50.0
Final,Nuke,Team Vitality,mezii,76561197973140692,Terrorist,5.0,0.0,7.0,4.0,0.0,0.0,4.0,7.0,80.0
Final,Nuke,Team Vitality,mezii,76561197973140692,Both,13.0,1.0,14.0,11.0,13.0,4.0,8.0,19.0,61.54
Final,Nuke,Team Vitality,ropz,76561197991272318,Counter Terrorist,8.0,3.0,9.0,8.0,10.0,4.0,5.0,12.0,62.5
Final,Nuke,Team Vitality,ropz,76561197991272318,Terrorist,7.0,2.0,8.0,1.0,0.0,2.0,1.0,7.0,14.29
Final,Nuke,Team Vitality,ropz,76561197991272318,Both,15.0,5.0,17.0,9.0,10.0,6.0,6.0,19.0,40.0
Final,Overpass,FaZe Clan,Twistzz,76561198016255205,Counter Terrorist,5.0,0.0,11.0,5.0,20.0,6.0,4.0,12.0,80.0
Final,Overpass,FaZe Clan,Twistzz,76561198016255205,Terrorist,3.0,0.0,2.0,1.0,0.0,1.0,2.0,3.0,66.67
Final,Overpass,FaZe Clan,Twistzz,76561198016255205,Both,8.0,0.0,13.0,6.0,20.0,7.0,6.0,15.0,75.0
